id,target
0,0.02418
1,0.03261
2,0.03990
3,0.01974
4,0.01575
5,0.02534
6,0.04979
8,0.02457
10,0.05028
11,0.03247
12,0.03089
14,0.02057
15,0.04861
18,0.03696
21,0.03372
23,0.02860
24,0.03607
25,0.04166
27,0.03290
29,0.03413
30,0.03753
31,0.06824
32,0.03724
33,0.03153
37,0.02691
38,0.03297
39,0.06630
40,0.02962
41,0.03650
42,0.02343
44,0.01594
45,0.03446
47,0.05118
49,0.01706
51,0.03139
52,0.02654
53,0.04299
54,0.04251
55,0.01860
56,0.03264
57,0.08917
59,0.05512
60,0.03496
62,0.04865
63,0.07320
67,0.03472
68,0.01589
69,0.06428
70,0.02564
71,0.03622
73,0.03670
75,0.03534
76,0.02383
81,0.02396
82,0.02513
83,0.02311
86,0.03333
87,0.05520
88,0.03213
91,0.04974
92,0.03193
94,0.02598
97,0.03848
100,0.03030
102,0.04341
103,0.02635
105,0.03511
106,0.04353
108,0.04587
113,0.05190
114,0.03770
115,0.02834
118,0.05446
122,0.02215
124,0.03876
126,0.03372
128,0.03390
129,0.04243
130,0.04537
131,0.03962
132,0.04897
133,0.02025
134,0.04912
135,0.06732
136,0.02201
139,0.02271
140,0.02309
141,0.05398
146,0.02673
148,0.04671
151,0.01919
152,0.03891
154,0.03016
157,0.03646
158,0.01146
159,0.05870
161,0.02438
164,0.02819
165,0.05161
167,0.03184
168,0.03473
169,0.03034
171,0.03749
172,0.07385
173,0.02213
174,0.02867
175,0.04384
176,0.04807
178,0.03532
179,0.02225
180,0.01984
181,0.02937
182,0.04738
183,0.06839
184,0.06049
185,0.02910
187,0.03674
188,0.02585
190,0.02797
191,0.03947
192,0.04622
195,0.04385
196,0.03427
198,0.05273
201,0.03705
202,0.03642
203,0.01865
204,0.02291
207,0.02147
213,0.03704
219,0.02603
220,0.03668
222,0.04949
226,0.02113
228,0.07187
230,0.02490
231,0.02428
232,0.04722
233,0.04997
234,0.01500
236,0.04001
237,0.03488
238,0.06293
240,0.04341
241,0.01804
242,0.04911
243,0.02716
245,0.03553
246,0.06141
247,0.02636
249,0.09206
250,0.02565
251,0.02396
252,0.02751
253,0.02527
254,0.05490
255,0.05944
256,0.04592
257,0.03077
258,0.03562
259,0.06729
260,0.01520
262,0.01311
267,0.02128
268,0.02332
270,0.02477
272,0.03872
273,0.02936
274,0.02642
275,0.03283
276,0.03111
277,0.03302
278,0.04509
279,0.04889
281,0.05472
282,0.03219
