id,target
0,0.02106
1,0.04457
2,0.02782
3,0.01416
4,0.00964
5,0.02544
6,0.03712
8,0.02755
10,0.05166
11,0.05716
12,0.04162
14,0.01343
15,0.06427
18,0.04551
21,0.04682
23,0.02536
24,0.04333
25,0.03980
27,0.04065
29,0.03564
30,0.01663
31,0.10769
32,0.03938
33,0.03448
37,0.03387
38,0.04785
39,0.08104
40,0.03052
41,0.04156
42,0.02251
44,0.03129
45,0.02447
47,0.05115
49,0.01440
51,0.04861
52,0.01996
53,0.04354
54,0.05833
55,0.01453
56,0.01865
57,0.10944
59,0.04290
60,0.05372
62,0.02011
63,0.09944
67,0.03059
68,0.00746
69,0.08878
70,0.03288
71,0.04892
73,0.02364
75,0.02147
76,0.02149
81,0.01487
82,0.02661
83,0.02263
86,0.03437
87,0.06457
88,0.01570
91,0.08846
92,0.02174
94,0.01152
97,0.05132
100,0.02086
102,0.03659
103,0.02490
105,0.03858
106,0.06019
108,0.03221
113,0.05400
114,0.01971
115,0.02613
118,0.06921
122,0.02442
124,0.06011
126,0.03379
128,0.03006
129,0.06900
130,0.04590
131,0.01830
132,0.04256
133,0.01885
134,0.03571
135,0.07927
136,0.02105
139,0.01279
140,0.01749
141,0.08784
146,0.04522
148,0.02017
151,0.01708
152,0.03936
154,0.04421
157,0.04344
158,0.00809
159,0.08441
161,0.01726
164,0.01467
165,0.06067
167,0.03176
168,0.04659
169,0.04119
171,0.06748
172,0.06091
173,0.01445
174,0.02148
175,0.03924
176,0.04297
178,0.03804
179,0.01796
180,0.01664
181,0.01287
182,0.13741
183,0.06345
184,0.08218
185,0.03182
187,0.03816
188,0.01638
190,0.02068
191,0.03526
192,0.05751
195,0.03846
196,0.02153
198,0.06344
201,0.05688
202,0.05259
203,0.01575
204,0.01547
207,0.03040
213,0.03567
219,0.02623
220,0.02978
222,0.08108
226,0.00883
228,0.12727
230,0.03176
231,0.02553
232,0.04153
233,0.01163
234,0.00794
236,0.03871
237,0.03326
238,0.09965
240,0.05497
241,0.01821
242,0.08924
243,0.02147
245,0.01986
246,0.04947
247,0.02748
249,0.05554
250,0.02032
251,0.01530
252,0.01978
253,0.01468
254,0.06551
255,0.10213
256,0.04431
257,0.02225
258,0.02100
259,0.08747
260,0.00546
262,0.01107
267,0.02216
268,0.02670
270,0.01332
272,0.01817
273,0.03087
274,0.01449
275,0.02238
276,0.02657
277,0.04895
278,0.08116
279,0.04394
281,0.02229
282,0.02863
283,0.04123
287,0.02475
288,0.06459
289,0.03068
290,0.01097
291,0.08660
292,0.14462
293,0.04348
294,0.01972
295,0.01924
296,0.11808
297,0.05156
298,0.03580
299,0.07977
300,0.03038
303,0.03607
304,0.05858
308,0.01172
314,0.10954
315,0.02365
317,0.05087
318,0.09415
320,0.05659
322,0.06933
323,0.01340
327,0.04045
329,0.08198
331,0.01116
332,0.22350
333,0.07234
334,0.01787
335,0.02734
336,0.05176
337,0.04835
341,0.02616
343,0.02694
345,0.03818
347,0.03294
348,0.05930
349,0.04303
352,0.01769
353,0.01953
354,0.05657
355,0.04019
356,0.02964
357,0.01329
358,0.01730
359,0.02886
361,0.05685
362,0.03108
365,0.03822
366,0.07108
368,0.02944
369,0.02507
371,0.01535
373,0.02514
376,0.04650
377,0.01891
379,0.05868
381,0.02495
382,0.02030
383,0.01970
384,0.04631
385,0.03064
386,0.04417
387,0.02590
388,0.07014
390,0.02143
391,0.02527
392,0.11623
393,0.03126
394,0.02886
396,0.03806
400,0.03481
402,0.03533
403,0.01664
405,0.04318
407,0.04306
409,0.04420
411,0.04226
412,0.01916
414,0.07864
415,0.02247
416,0.01075
418,0.01783
419,0.01989
421,0.00774
422,0.05880
423,0.02996
424,0.05576
426,0.00863
427,0.10756
428,0.03380
436,0.04486
438,0.04291
442,0.02838
443,0.02264
445,0.03160
446,0.03714
447,0.02118
450,0.06052
452,0.01257
453,0.03120
455,0.03367
458,0.08158
459,0.01122
461,0.04049
463,0.01400
467,0.03967
470,0.04131
471,0.02291
472,0.02346
476,0.09920
477,0.02185
481,0.07102
482,0.07681
483,0.09457
485,0.02441
487,0.01427
488,0.02334
490,0.02401
492,0.02260
494,0.05725
497,0.11459
499,0.01542
500,0.05290
501,0.04439
503,0.01314
505,0.02564
506,0.04498
507,0.04211
509,0.05588
510,0.07256
511,0.05907
512,0.01618
514,0.02199
515,0.02488
516,0.01777
517,0.13774
519,0.02075
520,0.03108
521,0.02786
522,0.04082
523,0.04490
527,0.03709
530,0.08774
532,0.03540
534,0.02255
536,0.05105
539,0.02650
543,0.01658
547,0.04018
550,0.02304
551,0.02882
552,0.02092
553,0.05959
555,0.03019
556,0.03021
557,0.02690
558,0.03145
559,0.03162
560,0.01524
561,0.04109
565,0.03398
566,0.03401
567,0.03249
571,0.05144
572,0.03747
574,0.01259
575,0.01432
576,0.09834
577,0.06258
578,0.01265
579,0.04898
581,0.01315
587,0.01616
589,0.02522
590,0.05354
591,0.01257
592,0.07016
593,0.01835
594,0.11301
595,0.06156
596,0.01313
597,0.05327
598,0.19354
600,0.01938
602,0.00754
605,0.03230
606,0.02792
607,0.02166
612,0.01229
613,0.01295
614,0.01264
615,0.01578
616,0.00983
617,0.01649
618,0.05706
620,0.03541
621,0.01765
622,0.01665
623,0.02953
628,0.03046
631,0.03909
632,0.01778
633,0.03035
634,0.04707
635,0.06833
637,0.02666
638,0.04592
640,0.02960
643,0.01987
644,0.10400
645,0.03464
646,0.04537
649,0.02613
651,0.05792
653,0.01515
654,0.09839
655,0.13727
656,0.04275
658,0.05915
659,0.01237
661,0.06578
662,0.02471
663,0.03530
664,0.08331
665,0.05249
667,0.03232
668,0.03055
671,0.03135
673,0.03864
674,0.05761
675,0.01885
676,0.05196
677,0.01849
678,0.02222
679,0.02808
680,0.03654
681,0.06727
682,0.05106
683,0.02463
684,0.01803
686,0.09861
687,0.04605
688,0.08591
690,0.02840
691,0.03412
692,0.06201
693,0.03859
694,0.03732
695,0.01386
696,0.01448
698,0.05599
699,0.01807
702,0.02454
703,0.01204
705,0.16651
706,0.06695
707,0.02346
708,0.01397
709,0.06972
710,0.11081
713,0.01675
714,0.02366
715,0.05847
716,0.07193
717,0.04460
718,0.01078
719,0.02391
720,0.02077
721,0.02695
723,0.01956
724,0.04883
726,0.02017
728,0.10979
730,0.02380
732,0.01841
734,0.01363
735,0.06248
737,0.01072
738,0.08874
741,0.06949
742,0.02415
743,0.01855
746,0.02504
747,0.03382
749,0.03595
750,0.05433
752,0.04344
755,0.03449
757,0.01488
758,0.02592
759,0.03580
765,0.01334
766,0.01933
767,0.12100
768,0.03476
769,0.02830
770,0.00757
771,0.02745
772,0.01579
773,0.09142
775,0.03487
776,0.02953
778,0.03170
779,0.01961
780,0.04085
782,0.02819
783,0.03534
784,0.04083
785,0.01697
786,0.01106
788,0.04989
789,0.01824
792,0.08747
793,0.02794
794,0.04083
797,0.10755
798,0.01187
799,0.10028
800,0.03292
801,0.05246
802,0.11143
805,0.02632
807,0.02952
808,0.00902
811,0.01941
813,0.01791
814,0.02660
815,0.15133
816,0.05385
817,0.01505
819,0.01347
821,0.02023
823,0.02034
825,0.02270
826,0.01051
827,0.02287
828,0.01905
830,0.02938
831,0.03126
833,0.01456
834,0.07177
835,0.02345
836,0.04540
837,0.03401
838,0.04537
840,0.02883
842,0.01262
844,0.03345
845,0.07593
847,0.03548
848,0.05017
850,0.01266
851,0.02443
852,0.03337
853,0.09342
855,0.01290
856,0.04493
857,0.02578
859,0.03115
860,0.05299
862,0.07277
863,0.03118
864,0.02651
867,0.04948
868,0.03424
869,0.01733
871,0.01353
873,0.05875
875,0.04697
876,0.04649
877,0.02177
879,0.08544
880,0.10681
883,0.02676
884,0.02255
885,0.03319
886,0.00686
887,0.01450
888,0.01793
891,0.04633
893,0.01601
895,0.06109
897,0.04179
898,0.12867
901,0.02775
902,0.03360
904,0.04278
905,0.01791
907,0.05344
908,0.04337
909,0.04267
910,0.01255
911,0.01337
913,0.04299
914,0.02196
915,0.16695
916,0.02552
917,0.01473
919,0.02089
920,0.02882
923,0.02145
924,0.02373
925,0.05756
926,0.03516
928,0.02980
929,0.00951
932,0.03727
935,0.04956
936,0.04676
937,0.02722
938,0.07023
939,0.01718
940,0.05047
941,0.01584
944,0.05425
945,0.01649
946,0.06535
947,0.05790
949,0.03225
950,0.03046
952,0.03659
953,0.05154
955,0.01516
956,0.02659
957,0.01454
960,0.02294
961,0.04117
962,0.02339
963,0.01520
964,0.03369
967,0.04037
975,0.03251
976,0.02103
977,0.01698
978,0.04951
980,0.01114
985,0.05849
986,0.06147
987,0.00892
989,0.02720
992,0.02718
994,0.03272
995,0.01507
996,0.01034
997,0.05277
998,0.01032
999,0.06653
1000,0.03802
1004,0.01670
1005,0.07139
1006,0.02353
1007,0.13455
1010,0.02809
1011,0.06843
1012,0.00959
1013,0.02534
1014,0.02176
1016,0.04428
1018,0.03051
1019,0.01456
1020,0.03854
1022,0.02671
1023,0.03056
1024,0.03733
1025,0.05902
1029,0.04140
1031,0.02718
1032,0.02238
1033,0.03268
1034,0.07049
1035,0.03758
1036,0.03068
1037,0.01887
1038,0.03508
1039,0.03421
1041,0.01425
1043,0.02571
1049,0.04450
1050,0.14631
1051,0.03705
1052,0.02284
1053,0.01925
1054,0.02444
1056,0.05918
1057,0.10079
